moves,winner
e4 d6 Bc4 Nf6 Nc3 e6 Nf3 d5 exd5 exd5 Bb3 Be7 O-O d4 Ne2 c5 d3 Nc6 Ng3 O-O Re1 Bd6 Bg5 Bxg3 hxg3 h6 Bd2 Re8 Rxe8+ Qxe8 Qf1 Bf5 Re1 Qb8 Bf4 Qf8 Ne5 Nd8 Qe2 Ne8 Qf3 Be6 Bxe6 fxe6 Qg4 Qf5 Qxf5 exf5 Nd7 Kf7 Nxc5 Rc8 Nb3 Rxc2 Nxd4 Rc5 Nf3 Nc6 d4 Rb5 b3 Ra5 Re2 Kf8 Ne5 Nxd4 Rd2 Nc6 Nxc6 bxc6 Rc2 Ke7 Rxc6 Rxa2 b4 Ra4 Be3 Rxb4 Bxa7 Kd7 Rc5 Nd6 Re5 Rb5 Re1 Ra5 Bd4 g5 Bg7 h5 Bf6 g4 Re7+ Kc8 Rh7 Ra2 Rxh5 Kd7 Be5 Ne4 Rxf5 Ra5 Rf4 Rxe5 Rxg4 Nc3 Rc4 Re1+ Kh2 Ne4 f3 Ng5 Rc5 Nh7 g4 Ra1 Kg3 Kd6 Rb5 Nf6 g5 Nd5 Rb8 Ke6 Rf8 Ra6 Kg4 Ke7 Rb8 Ra3 f4 Ra2 g3 Ne3+ Kh5 Rg2 g4 Nxg4 f5 Ne5 Rb7+ Kf8 g6 Ng4 Kg5 Kg8 Rb4 Ne3+ Kf6 Nd5+,black
e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6 Qe2 Nc5 Rd1 Nxb3 axb3 Qc8 Nc3 Nb4 Nd4 Bg4 f3 Be6 Nxe6 fxe6 Be3 c5 Bf2 Be7 Na2 Qc6 c3 Nxa2 Rxa2 Kf7 Rda1 g6 f4 Kg7 Qg4 Bd8 Bh4 Qb6 Bxd8 Rhxd8 Kh1 d4 cxd4 cxd4 Qg5 Rf8 h4 d3 h5 Rf5 h6+ Kg8 Qe7 Rh5+,black
e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e5 Nf5 Bxf5 exf5 Nc6 g4 Be7 g5 Nd7 h4 Nd4 Be3 Nxf5 Qf3 g6 Qxb7 Nxe3 fxe3 O-O O-O-O Nc5 Qd5 Qb6 Qg2 Rab8 Bb3 Nxb3+ axb3 Qxe3+ Kb1 Qa7 h5 Kg7 hxg6 hxg6 Rdf1 Qe3 Nd5 Qxg5 Qh3 Rh8 Qf3 f5 Rhg1 e4 Qc3+ Bf6 Qc7+ Kh6 Rh1+ Qh4 Nxf6 Kg5 Rxh4 Kxh4 Qxd6 Kh3 Qf4,white
d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 g6 Nc3 Bxa6 Nf3 Bg7 g3 O-O Bg2 d6 O-O Nbd7 Qc2 Qb6 Re1 Qb7 h3 Nxd5 Nxd5 Qxd5 Nh4 Qd4 Bxa8 Rxa8 Nf3 Qb4 a3 Qb5 Rb1 Bb7 Bd2 Nf6 e4 Qc6 Re3 Nxe4 h4 Nxd2 Qxd2 Bh6 Rbe1 Qxf3,black
e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qa5 d4 Bg4 Be3 O-O-O Be2 e5 d5 Nf6 dxc6 Rxd1+ Rxd1 bxc6 O-O Bc5 Bd2 Bb4 a3 Bd6 h3 Bh5 Rfe1 Qb6 b4 e4 Ng5 Bxe2 Nxe2 Rf8 Nc3 Qd4 Ncxe4 Nxe4 Nxe4 Qb2 Bc3 Qxc2 Bxg7 Rd8 Rc1 Qd3 Bf6 Rd7 Re3 Qd5 g3 Qf5 Kg2 h5 Rxc6 Kb7 Rcc3 Bf8 Re2 a6 Bg5 Rd4 Nc5+ Bxc5 Rxc5 Rd5 Be3 Qe4+ f3 Qf5 g4 hxg4 hxg4 Qd7 Rec2 Rxc5 Rxc5 c6 Rf5 Qe6 Bc5 Kc7 a4 Kd7 a5 Qe2+ Kg3 Ke6 Rf4 Qe1+ Bf2 Qb1 Re4+ Kd5 Bc5 f6 Kf4 Qh1 Re3 Qh2+ Kf5 Qh4 f4 Qh6 Rd3+ Kc4 Rd6 Qh7+ Kxf6 Qh6+ Kf5 Qh7+ Rg6 Qf7+ Kg5 Qd5+ f5 Qd2+ Kf6 Qd8+ Kg7 Qd7+ Kf6 Qd8+ Kf7 Qd7+ Be7 Qd5+ Kf8 Kb5 f6 Qe6 g5 Ka4 Rg7 Kb5 g6 Ka4 Rf7 Qc8+ Kg7 Kb5 Bc5 Qe8 Re7 Qd8 f7,white
e4 c5 d4 cxd4 c3 Nf6 e5 Nd5 cxd4 d6 exd6 Qxd6 Nc3 Nc6 Bb5 a6 Ba4 Bf5 Nf3 Qe6+ Qe2 Qxe2+ Kxe2 Nxc3+ bxc3 b5 Bb3 e6 d5 Na5 dxe6 Bxe6 Bxe6 fxe6 Bf4 Nc4 Rhe1 Bc5 Ng5 e5 Bg3 Ba7 f4 Be3 Kf3 Bd2 Re2 O-O Ne6 Rf6 Nc7 Rd8 Rd1 Rd7 Ke4 exf4 Rexd2 Nxd2+,black
Nf3 Nf6 c4 d5 cxd5 Nxd5 Nc3 Nc6 e4 Ndb4 d4 Nxd4 Nxd4 Qxd4 Bf4 c6 Qe2 Bg4 f3 Be6 Qf2 Rd8 a3 Qxf2+ Kxf2 Nc2 Rc1 Nd4 h4 h5 Ne2 Nxe2 Bxe2 g6 Be3 Bh6 b4 Bxe3+ Kxe3 Rd6 b5 Kd8 Rc3 Kc7 Rhc1 Rhd8 a4 Ba2 bxc6 Rxc6 g4 hxg4 fxg4 Rxc3+ Rxc3+ Kb8 a5 Rh8 h5 gxh5 Ra3 Be6 gxh5 Rh6 Kf4 f6 Rg3 Bf7 Rg1 e5+ Ke3 Rh7 a6 bxa6 Rh1 a5 h6 a4 Ba6 a3 Rc1 Rh8 Rb1+ Kc7 Rb7+ Kd8 Rb8+ Ke7 Rc8 Rxc8 Bxc8 a2 h7 a1=Q h8=Q Qe1+ Kf3 Qf1+ Ke3 Qf4+ Kd3 Qc1 Ba6 Qa3+ Kc2 Qxa6 Qa8 Qa1 Qb7+ Kf8 Qc6 Kg7 Qd7 Qa2+ Kc1 Qc4+ Kd2 Qxe4 Qxa7 f5,black
e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 a3 b5 Ba2 Bb7 O-O Nbd7 f4 Qc7 Qe2 g6 f5 gxf5 exf5 e5 Ne6 Qc6 Nd5 Rg8 Nec7+ Kd8 Bd2 Rc8 Ba5 Rxc7 Bxc7+ Ke8 c4 bxc4 Qxc4 Nxd5 Qxc6 Bxc6 Rfc1 Nc5 Bxd5 Bxd5 g3 Nb3,black
e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 c3 d5 exd5 Nxd5 O-O O-O Re1 Nb6 Bb3 h6 Nxe5 Bxf2+ Kxf2 Nxe5 d4 Ng4+ Kg1 Qd6 g3 Qf6 Rf1 Qg6 h3 Ne3 Qf3 Nxf1 g4 c6 Qxf1 Be6 Bd1 Bd5 Nd2 f5 Bc2 Rae8 Bxf5 Qd6 Qf2 g6 c4 gxf5 cxd5 fxg4 Qh4 gxh3 Nb3 Qg6+ Kh1,black
e4 e5 Nf3 Nf6 d4 Nxe4 Bd3 d5 Nxe5 Bd6 Qe2 O-O O-O Nf6 Bg5 h6 Bh4 c5 Nc3 c4 Nxd5 cxd3 cxd3 Bxe5 dxe5 Qxd5 exf6 g5 Bg3 Bf5 h4 Bxd3 Qh5 Bxf1 Rxf1 Kh7 hxg5 Qxg5 Qe2 Nc6,black
e4 c6 d4 d5 exd5 cxd5 c4 e6 Nc3 Nf6 Nf3 Bb4 Qb3 a5 a3 Bxc3+ bxc3 b6 Rb1 Nbd7 Bg5 dxc4 Bxc4 O-O O-O h6 Bh4 g5 Bg3 Ne4 Qc2 Nxg3 fxg3 Re8 Qe4 Ba6 Bxa6 Rxa6 Ne5 Nxe5 Qxe5 a4 Rf6 Ra5,black
e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Na5 Bb5+ c6 dxc6 bxc6 Be2 h6 Nf3 Bc5 d3 O-O O-O Re8 Nc3 Bf5 Nd2 Rb8 b3 Bd4 Bb2 Nb7 Rb1 Nd6 Bf3 Qa5 a4 Bxc3 Bxc3 Qxc3 Re1 c5 Qe2 Qxc2,black
e4 Nf6 Nc3 e5 f4 d5 fxe5 Nxe4 Nf3 Nxc3 dxc3 Be7 Bf4 c5 Qd2 h6 O-O-O Be6 Kb1 Nc6 h3 Qb6 g4 d4 cxd4 O-O-O c4 Nxd4 Qc3 Qc6 Bg2 Qe4+,black
e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 exd4 Re1 f5 Nbd2 Bb4 Nxe4 Bxe1 Bg5 Ne7 Nc5 b5 Qxd4 Ba5 Qxg7 Rf8 Qxh7 d6 Bb3 dxc5 Qh5+ Kd7 Ne5+ Kd6 Rd1+ Nd5 Rxd5+ Ke6 Rxd8+,white
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 e5 Qe7 Qe2 Nd5 c4 Ba6 b3 Qh4 a3 Bc5 g3 Bxf2+ Qxf2 Qe4+ Kd1 Qxh1 Nd2 O-O Bb2 d6 Kc2 dxe5 Bh3 Ne3+ Qxe3 Qxh2 Bd7 Bb7 Qxe5 Qh6 Rh1 f6 Qe6+,white
